"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"61",42.7777777777778,"ARPA",360,42.7777777777778,51,0.413,"AMRC-NW","ABCO",0,"20160622 06:07:09",1.17,0.461
"62",51.25,"ARPA",640,51.25,52,0.338,"AMRC-NW","PIPO",0,"20160622 06:10:32",1.45,0.383
"63",36.2962962962963,"ARPA",540,36.2962962962963,53,0.726,"AMRC-NW","PIPO",0,"20160622 06:13:36",0.33,0.816
"64",66.25,"ARPA",480,66.25,54,0.292,"AMRC-NW","PIPO",0,"20160622 06:17:07",1.69,0.335
"65",69.2105263157895,"ARPA",380,69.2105263157895,55,0.298,"AMRC-NW","PIPO",0,"20160622 06:23:00",1.67,0.345
"69",65.3333333333333,"ARPA",300,65.3333333333333,60,0.385,"AMRC-NW","PIPO",0,"20160622 06:58:24",1.31,0.417
"7",392.936507936508,"QUKE",1260,392.936507936508,0,0,"CLVD-N","ABCO",0,NA,NA,NA
"71",54.8598130841121,"ARPA",1070,54.8598130841121,62,0.182,"AMRC-NW","PIPO",0,"20160622 07:04:30",2.43,0.215
"72",59.3827160493827,"ARPA",810,59.3827160493827,63,0.427,"AMRC-NW","PIPO",0,"20160622 07:08:40",1.11,0.477
"73",84.018691588785,"CECO",1070,84.018691588785,64,0.088,"AMRC-2","ABCO",0,"20160623 05:15:39",3.79,0.089
"74",84.018691588785,"CECO",1070,84.018691588785,64,0.088,"AMRC-2","ABCO",0,"20160623 05:15:39",3.79,0.089
"75",84.018691588785,"CECO",1070,84.018691588785,64,0.088,"AMRC-2","ABCO",0,"20160623 05:15:39",3.79,0.089
"76",46.5573770491803,"CECO",1220,46.5573770491803,65,0.443,"AMRC-2","ABCO",0,"20160623 05:21:29",1.03,0.51
"77",72.3148148148148,"CECO",1080,72.3148148148148,66,0.123,"AMRC-2","ABCO",0,"20160623 05:24:33",3.03,0.133
"78",77.563025210084,"CECO",1190,77.563025210084,67,0.115,"AMRC-2","ABCO",0,"20160623 05:27:29",3.05,0.131
"79",77.563025210084,"CECO",1190,77.563025210084,0,0,"AMRC-2","ABCO",0,NA,NA,NA
"8",106.363636363636,"CEIN",1100,106.363636363636,13,0.909,"CLVD-N","PIPO",0,"20160531 19:48:46",0.15,0.909
